year,viewing_team_code,viewing_team_id,viewing_team_name,player_name,role,country,num_bids,last_bid_raw,last_bid_cr,bid_war,source
2018,DD,61,Sunrisers Hyderabad,Sayan Ghosh,Bowler,India,1,20.00 L,0.2,won,cricbuzz_all_bids_playwright
2018,DD,61,Sunrisers Hyderabad,Naman Ojha,WK-Batter,India,5,1.40 Cr,1.4,won,cricbuzz_all_bids_playwright
2018,DD,61,Sunrisers Hyderabad,Sandeep Lamichhane,Bowler,Nepal,1,20.00 L,0.2,won,cricbuzz_all_bids_playwright
2018,DD,61,Sunrisers Hyderabad,Deepak Chahar,Bowler,India,3,75.00 L,0.75,lost,cricbuzz_all_bids_playwright
2018,DD,61,Sunrisers Hyderabad,Pradeep Sangwan,Bowler,India,10,1.40 Cr,1.4,lost,cricbuzz_all_bids_playwright
2018,DD,61,Sunrisers Hyderabad,Abhishek Sharma,Bowler,India,4,55.00 L,0.55,won,cricbuzz_all_bids_playwright
2018,DD,61,Sunrisers Hyderabad,Shivam Mavi,Allrounder,India,15,2.40 Cr,2.4,lost,cricbuzz_all_bids_playwright
2018,DD,61,Sunrisers Hyderabad,Manjot Kalra,Batter,India,1,20.00 L,0.2,won,cricbuzz_all_bids_playwright
2018,DD,61,Sunrisers Hyderabad,Mujeeb Zadran,Bowler,Afghanistan,15,3.80 Cr,3.8,lost,cricbuzz_all_bids_playwright
2018,DD,61,Sunrisers Hyderabad,Trent Boult,Bowler,New Zealand,1,2.20 Cr,2.2,won,cricbuzz_all_bids_playwright
2018,DD,61,Sunrisers Hyderabad,Gurkeerat Singh Mann,Batter,India,3,75.00 L,0.75,won,cricbuzz_all_bids_playwright
2018,DD,61,Sunrisers Hyderabad,Jayant Yadav,Bowler,India,1,50.00 L,0.5,won,cricbuzz_all_bids_playwright
2018,DD,61,Sunrisers Hyderabad,Daniel Christian,Allrounder,Australia,3,1.50 Cr,1.5,won,cricbuzz_all_bids_playwright
2018,DD,61,Sunrisers Hyderabad,Pawan Negi,Allrounder,India,5,95.00 L,0.95,lost,cricbuzz_all_bids_playwright
2018,DD,61,Sunrisers Hyderabad,Mandeep Singh,Batter,India,10,95.00 L,0.95,lost,cricbuzz_all_bids_playwright
2018,DD,61,Sunrisers Hyderabad,Shahbaz Nadeem,Bowler,India,15,3.20 Cr,3.2,won,cricbuzz_all_bids_playwright
2018,DD,61,Sunrisers Hyderabad,Avesh Khan,Bowler,India,6,70.00 L,0.7,won,cricbuzz_all_bids_playwright
