year,viewing_team_code,viewing_team_id,viewing_team_name,player_name,role,country,num_bids,last_bid_raw,last_bid_cr,bid_war,source
2018,KXIP,65,Sunrisers Hyderabad,Manzoor Dar,Batter,India,1,20.00 L,0.2,won,cricbuzz_all_bids_playwright
2018,KXIP,65,Sunrisers Hyderabad,Chris Gayle,Batter,West Indies,1,2.00 Cr,2.0,won,cricbuzz_all_bids_playwright
2018,KXIP,65,Sunrisers Hyderabad,Aryaman Birla,Batter,India,1,25.00 L,0.25,lost,cricbuzz_all_bids_playwright
2018,KXIP,65,Sunrisers Hyderabad,Mayank Dagar,Bowler,India,1,20.00 L,0.2,won,cricbuzz_all_bids_playwright
2018,KXIP,65,Sunrisers Hyderabad,Pardeep Sahu,Allrounder,India,1,20.00 L,0.2,won,cricbuzz_all_bids_playwright
2018,KXIP,65,Sunrisers Hyderabad,Ben Dwarshuis,Bowler,Australia,11,1.40 Cr,1.4,won,cricbuzz_all_bids_playwright
2018,KXIP,65,Sunrisers Hyderabad,Akshdeep Nath,Batter,India,9,1.00 Cr,1.0,won,cricbuzz_all_bids_playwright
2018,KXIP,65,Sunrisers Hyderabad,Deepak Chahar,Bowler,India,3,45.00 L,0.45,lost,cricbuzz_all_bids_playwright
2018,KXIP,65,Sunrisers Hyderabad,Andrew Tye,Bowler,Australia,19,7.20 Cr,7.2,won,cricbuzz_all_bids_playwright
2018,KXIP,65,Sunrisers Hyderabad,Barinder Sran,Bowler,India,11,2.20 Cr,2.2,won,cricbuzz_all_bids_playwright
2018,KXIP,65,Sunrisers Hyderabad,Jason Behrendorff,Bowler,Australia,2,1.30 Cr,1.3,lost,cricbuzz_all_bids_playwright
2018,KXIP,65,Sunrisers Hyderabad,Pradeep Sangwan,Bowler,India,3,55.00 L,0.55,lost,cricbuzz_all_bids_playwright
2018,KXIP,65,Sunrisers Hyderabad,Mujeeb Zadran,Bowler,Afghanistan,16,4.00 Cr,4.0,won,cricbuzz_all_bids_playwright
2018,KXIP,65,Sunrisers Hyderabad,Shardul Thakur,Bowler,India,5,2.00 Cr,2.0,lost,cricbuzz_all_bids_playwright
2018,KXIP,65,Sunrisers Hyderabad,Jaydev Unadkat,Bowler,India,24,11.00 Cr,11.0,lost,cricbuzz_all_bids_playwright
2018,KXIP,65,Sunrisers Hyderabad,Nathan Coulter-Nile,Bowler,Australia,3,2.00 Cr,2.0,lost,cricbuzz_all_bids_playwright
2018,KXIP,65,Sunrisers Hyderabad,Mohammed Siraj,Bowler,India,1,2.40 Cr,2.4,lost,cricbuzz_all_bids_playwright
2018,KXIP,65,Sunrisers Hyderabad,Sandeep Sharma,Bowler,India,12,2.60 Cr,2.6,lost,cricbuzz_all_bids_playwright
2018,KXIP,65,Sunrisers Hyderabad,Mohit Sharma,Bowler,India,1,2.40 Cr,2.4,won,cricbuzz_all_bids_playwright
2018,KXIP,65,Sunrisers Hyderabad,Ben Cutting,Allrounder,Australia,4,1.70 Cr,1.7,lost,cricbuzz_all_bids_playwright
2018,KXIP,65,Sunrisers Hyderabad,Washington Sundar,Allrounder,India,5,3.00 Cr,3.0,lost,cricbuzz_all_bids_playwright
2018,KXIP,65,Sunrisers Hyderabad,Manoj Tiwary,Batter,India,6,1.00 Cr,1.0,won,cricbuzz_all_bids_playwright
2018,KXIP,65,Sunrisers Hyderabad,Mandeep Singh,Batter,India,12,1.30 Cr,1.3,lost,cricbuzz_all_bids_playwright
2018,KXIP,65,Sunrisers Hyderabad,Saurabh Tiwary,Batter,India,3,75.00 L,0.75,lost,cricbuzz_all_bids_playwright
2018,KXIP,65,Sunrisers Hyderabad,Murugan Ashwin,Bowler,India,14,2.00 Cr,2.0,lost,cricbuzz_all_bids_playwright
2018,KXIP,65,Sunrisers Hyderabad,Ankit Rajpoot,Bowler,India,15,3.00 Cr,3.0,won,cricbuzz_all_bids_playwright
2018,KXIP,65,Sunrisers Hyderabad,Navdeep Saini,Bowler,India,11,1.50 Cr,1.5,lost,cricbuzz_all_bids_playwright
2018,KXIP,65,Sunrisers Hyderabad,Khaleel Ahmed,Bowler,India,16,2.80 Cr,2.8,lost,cricbuzz_all_bids_playwright
2018,KXIP,65,Sunrisers Hyderabad,Basil Thampi,Allrounder,India,5,75.00 L,0.75,lost,cricbuzz_all_bids_playwright
2018,KXIP,65,Sunrisers Hyderabad,Siddarth Kaul,Bowler,India,17,3.60 Cr,3.6,lost,cricbuzz_all_bids_playwright
