year,viewing_team_code,viewing_team_id,viewing_team_name,player_name,role,country,num_bids,last_bid_raw,last_bid_cr,bid_war,source
2023,SRH,255,Sunrisers Hyderabad,Akeal Hosein,Bowler,West Indies,1,1.00 Cr,1.0,won,cricbuzz_all_bids_playwright
2023,SRH,255,Sunrisers Hyderabad,Anmolpreet Singh,Batter,India,1,20.00 L,0.2,won,cricbuzz_all_bids_playwright
2023,SRH,255,Sunrisers Hyderabad,Nitish Reddy,WK-Batter,India,1,20.00 L,0.2,won,cricbuzz_all_bids_playwright
2023,SRH,255,Sunrisers Hyderabad,Mayank Dagar,Allrounder,India,13,1.80 Cr,1.8,won,cricbuzz_all_bids_playwright
2023,SRH,255,Sunrisers Hyderabad,Upendra Yadav,WK-Batter,India,1,25.00 L,0.25,won,cricbuzz_all_bids_playwright
2023,SRH,255,Sunrisers Hyderabad,Sanvir Singh,Allrounder,India,1,20.00 L,0.2,won,cricbuzz_all_bids_playwright
2023,SRH,255,Sunrisers Hyderabad,Samarth Vyas,Allrounder,India,1,20.00 L,0.2,won,cricbuzz_all_bids_playwright
2023,SRH,255,Sunrisers Hyderabad,Vivrant Sharma,Allrounder,India,15,2.60 Cr,2.6,won,cricbuzz_all_bids_playwright
2023,SRH,255,Sunrisers Hyderabad,Mayank Agarwal,Batter,India,10,8.25 Cr,8.25,won,cricbuzz_all_bids_playwright
2023,SRH,255,Sunrisers Hyderabad,Mayank Markande,Bowler,India,1,50.00 L,0.5,won,cricbuzz_all_bids_playwright
2023,SRH,255,Sunrisers Hyderabad,Adil Rashid,Bowler,England,1,2.00 Cr,2.0,won,cricbuzz_all_bids_playwright
2023,SRH,255,Sunrisers Hyderabad,Heinrich Klaasen,WK-Batter,South Africa,12,5.25 Cr,5.25,won,cricbuzz_all_bids_playwright
2023,SRH,255,Sunrisers Hyderabad,Ben Stokes,Allrounder,England,15,14.75 Cr,14.75,lost,cricbuzz_all_bids_playwright
2023,SRH,255,Sunrisers Hyderabad,Harry Brook,Batter,England,17,13.25 Cr,13.25,won,cricbuzz_all_bids_playwright
