year,viewing_team_code,viewing_team_id,viewing_team_name,player_name,role,country,num_bids,last_bid_raw,last_bid_cr,bid_war,source
2024,CSK,58,Sunrisers Hyderabad,Pat Cummins,Bowler,Australia,15,7.60 Cr,7.6,lost,cricbuzz_all_bids_playwright
2024,CSK,58,Sunrisers Hyderabad,Aravelly Avanish,WK-Batter,India,1,20.00 L,0.2,won,cricbuzz_all_bids_playwright
2024,CSK,58,Sunrisers Hyderabad,Robin Minz,WK-Batter,India,10,1.20 Cr,1.2,lost,cricbuzz_all_bids_playwright
2024,CSK,58,Sunrisers Hyderabad,Mustafizur Rahman,Bowler,Bangladesh,1,2.00 Cr,2.0,won,cricbuzz_all_bids_playwright
2024,CSK,58,Sunrisers Hyderabad,Kumar Kushagra,WK-Batter,India,5,60.00 L,0.6,lost,cricbuzz_all_bids_playwright
2024,CSK,58,Sunrisers Hyderabad,Sameer Rizvi,Batter,India,30,8.40 Cr,8.4,won,cricbuzz_all_bids_playwright
2024,CSK,58,Sunrisers Hyderabad,Alzarri Joseph,Bowler,West Indies,8,2.80 Cr,2.8,lost,cricbuzz_all_bids_playwright
2024,CSK,58,Sunrisers Hyderabad,Daryl Mitchell,Allrounder,New Zealand,5,14.00 Cr,14.0,won,cricbuzz_all_bids_playwright
2024,CSK,58,Sunrisers Hyderabad,Rachin Ravindra,Allrounder,New Zealand,10,1.80 Cr,1.8,won,cricbuzz_all_bids_playwright
2024,CSK,58,Sunrisers Hyderabad,Shardul Thakur,Bowler,India,6,4.00 Cr,4.0,won,cricbuzz_all_bids_playwright
2024,CSK,58,Sunrisers Hyderabad,Travis Head,Batter,Australia,12,6.60 Cr,6.6,lost,cricbuzz_all_bids_playwright
2024,CSK,58,Sunrisers Hyderabad,Gerald Coetzee,Allrounder,South Africa,4,3.20 Cr,3.2,lost,cricbuzz_all_bids_playwright
