year,viewing_team_code,viewing_team_id,viewing_team_name,player_name,role,country,num_bids,last_bid_raw,last_bid_cr,bid_war,source
2024,KKR,63,Sunrisers Hyderabad,Sakib Hussain,Bowler,India,1,20.00 L,0.2,won,cricbuzz_all_bids_playwright
2024,KKR,63,Sunrisers Hyderabad,Gus Atkinson,Bowler,England,1,1.00 Cr,1.0,won,cricbuzz_all_bids_playwright
2024,KKR,63,Sunrisers Hyderabad,Mujeeb Ur Rahman,Bowler,Afghanistan,1,2.00 Cr,2.0,won,cricbuzz_all_bids_playwright
2024,KKR,63,Sunrisers Hyderabad,Manish Pandey,Batter,India,1,50.00 L,0.5,won,cricbuzz_all_bids_playwright
2024,KKR,63,Sunrisers Hyderabad,Nuwan Thushara,Bowler,Sri Lanka,6,1.00 Cr,1.0,lost,cricbuzz_all_bids_playwright
2024,KKR,63,Sunrisers Hyderabad,Sumit Kumar,Allrounder,India,8,95.00 L,0.95,lost,cricbuzz_all_bids_playwright
2024,KKR,63,Sunrisers Hyderabad,Spencer Johnson,Bowler,Australia,3,75.00 L,0.75,lost,cricbuzz_all_bids_playwright
2024,KKR,63,Sunrisers Hyderabad,Sherfane Rutherford,Batter,West Indies,1,1.50 Cr,1.5,won,cricbuzz_all_bids_playwright
2024,KKR,63,Sunrisers Hyderabad,Kartik Tyagi,Bowler,India,4,55.00 L,0.55,lost,cricbuzz_all_bids_playwright
2024,KKR,63,Sunrisers Hyderabad,Ramandeep Singh,Allrounder,India,1,20.00 L,0.2,won,cricbuzz_all_bids_playwright
2024,KKR,63,Sunrisers Hyderabad,Angkrish Raghuvanshi,Batter,India,1,20.00 L,0.2,won,cricbuzz_all_bids_playwright
2024,KKR,63,Sunrisers Hyderabad,Mitchell Starc,Bowler,Australia,31,24.75 Cr,24.75,won,cricbuzz_all_bids_playwright
2024,KKR,63,Sunrisers Hyderabad,Chetan Sakariya,Bowler,India,1,50.00 L,0.5,won,cricbuzz_all_bids_playwright
2024,KKR,63,Sunrisers Hyderabad,Srikar Bharat,WK-Batter,India,1,50.00 L,0.5,won,cricbuzz_all_bids_playwright
2024,KKR,63,Sunrisers Hyderabad,Chris Woakes,Allrounder,England,6,4.00 Cr,4.0,lost,cricbuzz_all_bids_playwright
2024,KKR,63,Sunrisers Hyderabad,Rovman Powell,Batter,West Indies,19,7.20 Cr,7.2,lost,cricbuzz_all_bids_playwright
