year,viewing_team_code,viewing_team_id,viewing_team_name,player_name,role,country,num_bids,last_bid_raw,last_bid_cr,bid_war,source
2025,PBKS,65,Sunrisers Hyderabad,Deepak Chahar,Bowler,India,13,7.50 Cr,7.5,lost,cricbuzz_all_bids_playwright
2025,PBKS,65,Sunrisers Hyderabad,Akash Deep,Bowler,India,10,7.75 Cr,7.75,lost,cricbuzz_all_bids_playwright
2025,PBKS,65,Sunrisers Hyderabad,Praveen Dubey,Allrounder,India,1,30.00 L,0.3,won,cricbuzz_all_bids_playwright
2025,PBKS,65,Sunrisers Hyderabad,Pyla Avinash,Batter,India,1,30.00 L,0.3,won,cricbuzz_all_bids_playwright
2025,PBKS,65,Sunrisers Hyderabad,Xavier Bartlett,Bowler,Australia,1,80.00 L,0.8,won,cricbuzz_all_bids_playwright
2025,PBKS,65,Sunrisers Hyderabad,Suryansh Shedge,Allrounder,India,1,30.00 L,0.3,won,cricbuzz_all_bids_playwright
2025,PBKS,65,Sunrisers Hyderabad,Musheer Khan,Batter,India,1,30.00 L,0.3,won,cricbuzz_all_bids_playwright
2025,PBKS,65,Sunrisers Hyderabad,Nathan Ellis,Bowler,Australia,2,1.40 Cr,1.4,lost,cricbuzz_all_bids_playwright
2025,PBKS,65,Sunrisers Hyderabad,Aaron Hardie,Allrounder,Australia,1,1.25 Cr,1.25,won,cricbuzz_all_bids_playwright
2025,PBKS,65,Sunrisers Hyderabad,Jacob Bethell,Allrounder,England,1,2.40 Cr,2.4,lost,cricbuzz_all_bids_playwright
2025,PBKS,65,Sunrisers Hyderabad,Priyansh Arya,Allrounder,India,16,3.80 Cr,3.8,won,cricbuzz_all_bids_playwright
2025,PBKS,65,Sunrisers Hyderabad,Kuldeep Sen,Bowler,India,1,80.00 L,0.8,won,cricbuzz_all_bids_playwright
2025,PBKS,65,Sunrisers Hyderabad,Harnoor Singh,Batter,India,1,30.00 L,0.3,won,cricbuzz_all_bids_playwright
2025,PBKS,65,Sunrisers Hyderabad,Spencer Johnson,Bowler,Australia,2,2.60 Cr,2.6,lost,cricbuzz_all_bids_playwright
2025,PBKS,65,Sunrisers Hyderabad,Ravisrinivasan Sai Kishore,Allrounder,India,3,2.00 Cr,2.0,lost,cricbuzz_all_bids_playwright
2025,PBKS,65,Sunrisers Hyderabad,Azmatullah Omarzai,Allrounder,Afghanistan,4,2.40 Cr,2.4,won,cricbuzz_all_bids_playwright
