year,player_name,role,country,status,base_price_raw,final_price_raw,price_cr,team_code,team,cricbuzz_player_id,source
2008,Pragyan Ojha,Bowler,India,unknown,,,0.0,,,1356,cricbuzz_playwright
2008,Shivnarine Chanderpaul,Batter,West Indies,sold,80.24 L,80.24 L,0.8024,RCB,RCB,244,cricbuzz_playwright
2008,Mithun Manhas,Allrounder,India,unknown,,,0.0,DD,DD,597,cricbuzz_playwright
2008,Zaheer Khan,Bowler,India,sold,80.24 L,1.80 Cr,1.8,RCB,RCB,71,cricbuzz_playwright
2008,Rohan Raje,Allrounder,India,unknown,,,0.0,MI,MI,1700,cricbuzz_playwright
2008,Morne Morkel,Bowler,South Africa,sold,20.06 L,24.07 L,0.2407,RR,RR,608,cricbuzz_playwright
2008,Shoaib Akhtar,Bowler,Pakistan,sold,1.00 Cr,1.70 Cr,1.7,KKR,KKR,30,cricbuzz_playwright
2008,Neravanda Aiyappa,Bowler,India,unknown,,,0.0,RCB,RCB,1802,cricbuzz_playwright
2008,Sachin Tendulkar,Batter,,sold,3.91 Cr,4.49 Cr,4.49,MI,MI,25,cricbuzz_playwright
2008,Do ddapaneni Kalyankrishna,Allrounder,India,unknown,,,0.0,,,1816,cricbuzz_playwright
2008,VVS Laxman,Batter,India,sold,60.18 L,1.50 Cr,1.5,,,28,cricbuzz_playwright
2008,Rajat Bhatia,Allrounder,India,unknown,,,0.0,DD,DD,1468,cricbuzz_playwright
2008,S Sreesanth,Bowler,India,sold,80.24 L,2.50 Cr,2.5,KXIP,KXIP,463,cricbuzz_playwright
2008,Vikrant Yeligati,Allrounder,India,unknown,,,0.0,MI,MI,1840,cricbuzz_playwright
2008,Ashwell Prince,Batter,South Africa,sold,,20.06 L,0.2006,,,371,cricbuzz_playwright
2008,Anil Kumble,Bowler,India,sold,1.00 Cr,2.00 Cr,2.0,RCB,RCB,98,cricbuzz_playwright
2008,Palani Amarnath,Bowler,India,unknown,,,0.0,CSK,CSK,1715,cricbuzz_playwright
2008,Sourav Ganguly,Batter,India,sold,3.81 Cr,4.38 Cr,4.38,KKR,KKR,29,cricbuzz_playwright
2008,Paidikalva Vijaykumar,Bowler,India,unknown,,,0.0,,,1818,cricbuzz_playwright
2008,Wasim Jaffer,Batter,India,sold,60.18 L,60.18 L,0.6018,RCB,RCB,499,cricbuzz_playwright
2008,top pickSachin Tendulkar,Batter,India,sold,3.91 Cr,4.49 Cr,4.49,MI,MI,25,cricbuzz_playwright
2009,RP Singh,Bowler,India,retained,,4.25 Cr,4.25,,,434,cricbuzz_playwright
2009,Fidel Edwards,Bowler,West Indies,sold,73.02 L,73.02 L,0.7302,,,381,cricbuzz_playwright
2009,Vinay Kumar,Bowler,India,retained,,,0.0,RCB,RCB,1449,cricbuzz_playwright
2009,S Sreesanth,Bowler,India,retained,,3.04 Cr,3.04,KXIP,KXIP,463,cricbuzz_playwright
2009,Sanjay Bangar,Allrounder,India,unknown,,,0.0,KKR,KKR,1814,cricbuzz_playwright
2009,Yuvraj Singh,Allrounder,India,retained,,5.17 Cr,5.17,KXIP,KXIP,69,cricbuzz_playwright
2009,Dwaraka Ravi Teja,Batter,India,retained,,,0.0,,,1464,cricbuzz_playwright
2009,Angelo Mathews,Allrounder,Sri Lanka,unknown,,,0.0,KKR,KKR,1629,cricbuzz_playwright
2009,Murali Kartik,Bowler,India,retained,,2.06 Cr,2.06,KKR,KKR,300,cricbuzz_playwright
2009,Owais Shah,Allrounder,England,sold,73.02 L,1.33 Cr,1.33,DD,DD,520,cricbuzz_playwright
2009,Balachandra Akhil,Allrounder,India,retained,,,0.0,RCB,RCB,1803,cricbuzz_playwright
2009,Dinesh Karthik,WK-Batter,India,retained,,2.55 Cr,2.55,DD,DD,145,cricbuzz_playwright
2009,Ashok Dinda,Bowler,India,retained,,,0.0,KKR,KKR,1467,cricbuzz_playwright
2009,Virender Sehwag,Batter,India,retained,,4.05 Cr,4.05,DD,DD,26,cricbuzz_playwright
2009,Azhar Bilakhia,Batter,India,unknown,,,0.0,,,1906,cricbuzz_playwright
2009,Moises Henriques,Allrounder,Australia,unknown,,,0.0,KKR,KKR,1437,cricbuzz_playwright
2009,Makhaya Ntini,Bowler,South Africa,retained,,97.36 L,0.9736,CSK,CSK,216,cricbuzz_playwright
2009,Paul Collingwood,Batter,England,sold,1.21 Cr,1.33 Cr,1.33,DD,DD,66,cricbuzz_playwright
2009,Rajesh Bishnoi,Batter,India,unknown,,,0.0,RCB,RCB,1854,cricbuzz_playwright
2009,AB de Villiers,WK-Batter,South Africa,retained,,1.46 Cr,1.46,DD,DD,370,cricbuzz_playwright
2010,Kieron Pollard,Allrounder,,sold,91.52 L,3.43 Cr,3.43,MI,MI,657,cricbuzz_playwright
