year,player,role,overseas,csk_exit_cr,csk_bids,winner,winner_price_cr,miss_margin_cr,profile
2026,Cameron Green,Batter,True,25.0,29,KKR,25.2,0.2,Batter · Overseas · Marquee
2023,Sam Curran,All Rounder,True,15.25,8,PBKS,18.5,3.25,All Rounder · Overseas · Marquee
2021,Glenn Maxwell,All Rounder,True,14.0,20,RCB,14.25,0.25,All Rounder · Overseas · Marquee
2025,KL Rahul,Wicket Keeper,False,13.75,4,DC,14.0,0.25,Wicket Keeper · Indian · Marquee
2018,Jaydev Unadkat,Bowler,False,10.5,24,RR,11.5,1.0,Bowler · Indian · Marquee
2025,Deepak Chahar,Bowler,False,9.0,3,MI,9.25,0.25,Bowler · Indian · Premium
2026,Mustafizur Rahman,Bowler,True,9.0,18,KKR,9.2,0.2,Bowler · Overseas · Premium
2022,Shahrukh Khan,Batter,False,8.75,27,PBKS,9.0,0.25,Batter · Indian · Premium
2022,Rahul Tewatia,All Rounder,False,8.75,27,GT,9.0,0.25,All Rounder · Indian · Premium
2025,Marcus Stoinis,All Rounder,True,8.5,16,PBKS,11.0,2.5,All Rounder · Overseas · Premium
2025,Liam Livingstone,All Rounder,True,8.5,4,RCB,8.75,0.25,All Rounder · Overseas · Premium
2022,Rahul Tripathi,Batter,False,8.25,26,SRH,8.5,0.25,Batter · Indian · Premium
2025,Mohammed Shami,Bowler,False,8.0,14,SRH,10.0,2.0,Bowler · Indian · Premium
2025,Mohammed Siraj,Bowler,False,8.0,14,GT,12.25,4.25,Bowler · Indian · Premium
2023,Mayank Agarwal,Batter,False,8.0,12,SRH,8.25,0.25,Batter · Indian · Premium
2020,Nathan Coulter-Nile,Bowler,True,7.75,18,MI,8.0,0.25,Bowler · Overseas · Premium
2024,Pat Cummins,Bowler,True,7.6,15,SRH,20.5,12.9,Bowler · Overseas · Premium
2025,Arshdeep Singh,Bowler,False,7.25,13,PBKS,18.0,10.75,Bowler · Indian · Premium
2018,Chris Woakes,All Rounder,True,7.2,14,RCB,7.4,0.2,All Rounder · Overseas · Premium
2022,Shardul Thakur,Bowler,False,7.0,2,DC,10.75,3.75,Bowler · Indian · Premium
